gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,at,capx,ceq,che,csho,dlc,ebit,ebitda,invt,revt,xint,xrd,xrdp,costat,prcc_f
001690,30SEP2010,2010,INDL,C,D,STD,AAPL,USD,75183.0000,2005.0000,47791.0000,25620.0000,915.9700,0.0000,18385.0000,19317.0000,1051.0000,65225.0000,0.0000,1782.0000,1333.0000,A,283.7500
001690,30SEP2011,2011,INDL,C,D,STD,AAPL,USD,116371.0000,4260.0000,76615.0000,25952.0000,929.2770,0.0000,33790.0000,35612.0000,776.0000,108249.0000,0.0000,2429.0000,1782.0000,A,381.3200
001690,30SEP2012,2012,INDL,C,D,STD,AAPL,USD,176064.0000,8295.0000,118210.0000,29129.0000,939.2080,0.0000,55241.0000,58446.0000,791.0000,156508.0000,0.0000,3381.0000,2429.0000,A,667.1050
001690,30SEP2013,2013,INDL,C,D,STD,AAPL,USD,207000.0000,8165.0000,123549.0000,40546.0000,899.2130,0.0000,48999.0000,55756.0000,1764.0000,170910.0000,136.0000,4475.0000,3381.0000,A,476.7500
001690,30SEP2014,2014,INDL,C,D,STD,AAPL,USD,231839.0000,9571.0000,111547.0000,25077.0000,5866.1610,6308.0000,52503.0000,60449.0000,2111.0000,182795.0000,384.0000,6041.0000,4475.0000,A,100.7500
001690,30SEP2015,2015,INDL,C,D,STD,AAPL,USD,290479.0000,11247.0000,119355.0000,41601.0000,5578.7530,10999.0000,71230.0000,81730.0000,2349.0000,233715.0000,733.0000,8067.0000,6041.0000,A,110.3000
001690,30SEP2016,2016,INDL,C,D,STD,AAPL,USD,321686.0000,12734.0000,128249.0000,67155.0000,5336.1660,11605.0000,59476.0000,69276.0000,2132.0000,215091.0000,1456.0000,10045.0000,8067.0000,A,113.0500
001690,30SEP2017,2017,INDL,C,D,STD,AAPL,USD,375319.0000,12451.0000,134047.0000,74181.0000,5126.2010,18473.0000,61344.0000,70744.0000,4855.0000,229234.0000,2323.0000,11581.0000,10045.0000,A,154.1200
001690,30SEP2018,2018,INDL,C,D,STD,AAPL,USD,365725.0000,13313.0000,107147.0000,66301.0000,4754.9860,20748.0000,70662.0000,81565.0000,3956.0000,265359.0000,3240.0000,14236.0000,11581.0000,A,225.7400
001690,30SEP2019,2019,INDL,C,D,STD,AAPL,USD,338516.0000,10495.0000,90488.0000,100580.0000,4443.2360,16240.0000,63930.0000,76477.0000,4106.0000,260174.0000,3576.0000,16217.0000,14236.0000,A,223.9700
001690,30SEP2020,2020,INDL,C,D,STD,AAPL,USD,323888.0000,7309.0000,65339.0000,90979.0000,16976.7630,15229.0000,66288.0000,77344.0000,4061.0000,274515.0000,2873.0000,18752.0000,16217.0000,A,115.8100
001690,30SEP2021,2021,INDL,C,D,STD,AAPL,USD,351002.0000,11085.0000,63090.0000,62639.0000,16426.7860,17141.0000,108949.0000,120233.0000,6580.0000,365817.0000,2645.0000,21914.0000,18752.0000,A,141.5000
012141,30JUN2010,2010,INDL,C,D,STD,MSFT,USD,86113.0000,1977.0000,46175.0000,36788.0000,8668.0000,1000.0000,24157.0000,26664.0000,740.0000,62484.0000,151.0000,8714.0000,9010.0000,A,23.0100
012141,30JUN2011,2011,INDL,C,D,STD,MSFT,USD,108704.0000,2355.0000,57083.0000,52772.0000,8376.0000,0.0000,27161.0000,29698.0000,1372.0000,69943.0000,295.0000,9043.0000,8714.0000,A,26.0000
012141,30JUN2012,2012,INDL,C,D,STD,MSFT,USD,121271.0000,2305.0000,66363.0000,63040.0000,8381.0000,1231.0000,27956.0000,30714.0000,1137.0000,73723.0000,380.0000,9811.0000,9043.0000,A,30.5900
012141,30JUN2013,2013,INDL,C,D,STD,MSFT,USD,142431.0000,4257.0000,78944.0000,77022.0000,8328.0000,2999.0000,27497.0000,30836.0000,1938.0000,77849.0000,464.0000,10411.0000,9811.0000,A,34.5450
012141,30JUN2014,2014,INDL,C,D,STD,MSFT,USD,172384.0000,5485.0000,89784.0000,85709.0000,8239.0000,2000.0000,27504.0000,31749.0000,2660.0000,86451.0000,617.0000,11381.0000,10411.0000,A,41.7000
012141,30JUN2015,2015,INDL,C,D,STD,MSFT,USD,176223.0000,5944.0000,80083.0000,96526.0000,8027.0000,7484.0000,28172.0000,33572.0000,2902.0000,93580.0000,806.0000,12046.0000,11381.0000,A,44.1500
012141,30JUN2016,2016,INDL,C,D,STD,MSFT,USD,193694.0000,8343.0000,71997.0000,113240.0000,7808.0000,12929.0000,21292.0000,27170.0000,2251.0000,85320.0000,1301.0000,11988.0000,12046.0000,A,51.1700
012141,30JUN2017,2017,INDL,C,D,STD,MSFT,USD,241086.0000,8129.0000,72394.0000,132981.0000,7708.0000,10234.0000,22632.0000,30432.0000,2181.0000,89950.0000,2303.0000,13037.0000,11988.0000,A,68.9300
012141,30JUN2018,2018,INDL,C,D,STD,MSFT,USD,258848.0000,11632.0000,82718.0000,133768.0000,7677.0000,5573.0000,35058.0000,44958.0000,2662.0000,110360.0000,2733.0000,14726.0000,13037.0000,A,98.6100
012141,30JUN2019,2019,INDL,C,D,STD,MSFT,USD,286556.0000,13925.0000,102330.0000,133819.0000,7643.0000,7348.0000,42959.0000,54559.0000,2063.0000,125843.0000,2686.0000,16876.0000,14726.0000,A,133.9600
012141,30JUN2020,2020,INDL,C,D,STD,MSFT,USD,301311.0000,15441.0000,118304.0000,136527.0000,7571.0000,5905.0000,52959.0000,65259.0000,1895.0000,143015.0000,2591.0000,19269.0000,16876.0000,A,203.5100
012141,30JUN2021,2021,INDL,C,D,STD,MSFT,USD,333779.0000,20622.0000,141988.0000,130334.0000,7519.0000,10825.0000,69916.0000,80816.0000,2636.0000,168088.0000,2346.0000,20716.0000,19269.0000,A,270.9000
184996,31DEC2010,2010,INDL,C,D,STD,TSLA,USD,386.0820,40.2030,207.0480,173.1550,94.9080,0.2790,-146.8380,-136.2150,45.1820,116.7440,1.7920,92.9960,19.2820,A,26.6300
184996,31DEC2011,2011,INDL,C,D,STD,TSLA,USD,713.4480,197.8960,224.0450,303.8030,104.5300,8.9830,-251.4880,-234.5690,50.0820,204.2420,5.1430,208.9810,92.9960,A,28.5600
184996,31DEC2012,2012,INDL,C,D,STD,TSLA,USD,1114.1900,239.2280,124.7000,220.9840,114.2140,55.2060,-394.2830,-365.4580,268.5040,413.2560,7.8540,273.9780,208.9810,A,33.8700
184996,31DEC2013,2013,INDL,C,D,STD,TSLA,USD,2416.9300,264.2240,667.1200,848.9010,123.0910,7.9040,-61.2830,44.8000,340.3550,2013.4960,20.0490,231.9760,273.9780,A,150.4290
184996,31DEC2014,2014,INDL,C,D,STD,TSLA,USD,5849.2510,969.8850,911.7100,1923.6600,125.6880,611.0980,-186.6890,45.2420,953.6750,3198.3560,113.6480,464.7000,231.9760,A,222.4100
184996,31DEC2015,2015,INDL,C,D,STD,TSLA,USD,8092.4600,1634.8500,1088.9440,1219.5360,131.4250,633.1660,-716.6290,-294.0390,1277.8380,4046.0250,160.3280,717.9000,464.7000,A,240.0100
184996,31DEC2016,2016,INDL,C,D,STD,TSLA,USD,22664.0760,1440.4710,4752.9110,3498.7350,161.5610,1202.1780,-645.6400,301.4590,2067.4540,7000.1320,245.5010,834.4080,717.9000,A,213.6900
184996,31DEC2017,2017,INDL,C,D,STD,TSLA,USD,28655.3720,4081.3540,4237.2420,3523.2370,168.7970,963.8620,-1565.0860,70.9170,2263.5370,11758.7510,596.1720,1378.0730,834.4080,A,311.3500
184996,31DEC2018,2018,INDL,C,D,STD,TSLA,USD,29739.6140,2319.5160,4923.2430,3878.1690,172.6030,2629.4600,-252.8400,1634.9460,3113.4460,21461.2680,717.9710,1473.6340,1378.0730,A,332.8000
184996,31DEC2019,2019,INDL,C,D,STD,TSLA,USD,34309.0000,1432.0000,6618.0000,6514.0000,181.0000,2070.0000,80.0000,2187.0000,3552.0000,24578.0000,716.0000,1390.0000,1473.6340,A,418.3300
184996,31DEC2020,2020,INDL,C,D,STD,TSLA,USD,52148.0000,3232.0000,22225.0000,19622.0000,960.0000,2459.0000,2184.0000,4506.0000,4101.0000,31536.0000,691.0000,1491.0000,1390.0000,A,705.6700
